TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ENGINE_ATTRIBUTE,SECONDARY_ENGINE_ATTRIBUTE
information_schema,INNODB_CMP,def,uncompress_ops,NULL,NULL
information_schema,INNODB_CMP,def,uncompress_time,NULL,NULL
information_schema,INNODB_CMPMEM,def,page_size,NULL,NULL
information_schema,INNODB_CMPMEM,def,buffer_pool_instance,NULL,NULL
information_schema,INNODB_CMPMEM,def,pages_used,NULL,NULL
information_schema,INNODB_CMPMEM,def,pages_free,NULL,NULL
information_schema,INNODB_CMPMEM,def,relocation_ops,NULL,NULL
information_schema,INNODB_CMPMEM,def,relocation_time,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,page_size,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,buffer_pool_instance,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,pages_used,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,pages_free,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,relocation_ops,NULL,NULL
information_schema,INNODB_CMPMEM_RESET,def,relocation_time,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,database_name,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,table_name,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,index_name,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,compress_ops,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,compress_ops_ok,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,compress_time,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,uncompress_ops,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX,def,uncompress_time,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,database_name,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,table_name,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,index_name,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,compress_ops,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,compress_ops_ok,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,compress_time,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,uncompress_ops,NULL,NULL
information_schema,INNODB_CMP_PER_INDEX_RESET,def,uncompress_time,NULL,NULL
information_schema,INNODB_CMP_RESET,def,page_size,NULL,NULL
information_schema,INNODB_CMP_RESET,def,compress_ops,NULL,NULL
information_schema,INNODB_CMP_RESET,def,compress_ops_ok,NULL,NULL
information_schema,INNODB_CMP_RESET,def,compress_time,NULL,NULL
information_schema,INNODB_CMP_RESET,def,uncompress_ops,NULL,NULL
information_schema,INNODB_CMP_RESET,def,uncompress_time,NULL,NULL
information_schema,INNODB_COLUMNS,def,TABLE_ID,NULL,NULL
information_schema,INNODB_COLUMNS,def,NAME,NULL,NULL
information_schema,INNODB_COLUMNS,def,POS,NULL,NULL
information_schema,INNODB_COLUMNS,def,MTYPE,NULL,NULL
information_schema,INNODB_COLUMNS,def,PRTYPE,NULL,NULL
information_schema,INNODB_COLUMNS,def,LEN,NULL,NULL
information_schema,INNODB_COLUMNS,def,HAS_DEFAULT,NULL,NULL
information_schema,INNODB_COLUMNS,def,DEFAULT_VALUE,NULL,NULL
information_schema,INNODB_DATAFILES,def,SPACE,NULL,NULL
information_schema,INNODB_DATAFILES,def,PATH,NULL,NULL
information_schema,INNODB_FIELDS,def,INDEX_ID,NULL,NULL
information_schema,INNODB_FIELDS,def,NAME,NULL,NULL
information_schema,INNODB_FIELDS,def,POS,NULL,NULL
information_schema,INNODB_FOREIGN,def,ID,NULL,NULL
information_schema,INNODB_FOREIGN,def,FOR_NAME,NULL,NULL
information_schema,INNODB_FOREIGN,def,REF_NAME,NULL,NULL
information_schema,INNODB_FOREIGN,def,N_COLS,NULL,NULL
information_schema,INNODB_FOREIGN,def,TYPE,NULL,NULL
information_schema,INNODB_FOREIGN_COLS,def,ID,NULL,NULL
information_schema,INNODB_FOREIGN_COLS,def,FOR_COL_NAME,NULL,NULL
information_schema,INNODB_FOREIGN_COLS,def,REF_COL_NAME,NULL,NULL
information_schema,INNODB_FOREIGN_COLS,def,POS,NULL,NULL
information_schema,INNODB_FT_BEING_DELETED,def,DOC_ID,NULL,NULL
information_schema,INNODB_FT_CONFIG,def,KEY,NULL,NULL
information_schema,INNODB_FT_CONFIG,def,VALUE,NULL,NULL
information_schema,INNODB_FT_DEFAULT_STOPWORD,def,value,NULL,NULL
information_schema,INNODB_FT_DELETED,def,DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,WORD,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,FIRST_DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,LAST_DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,DOC_COUNT,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_CACHE,def,POSITION,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,WORD,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,FIRST_DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,LAST_DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,DOC_COUNT,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,DOC_ID,NULL,NULL
information_schema,INNODB_FT_INDEX_TABLE,def,POSITION,NULL,NULL
information_schema,INNODB_INDEXES,def,INDEX_ID,NULL,NULL
information_schema,INNODB_INDEXES,def,NAME,NULL,NULL
information_schema,INNODB_INDEXES,def,TABLE_ID,NULL,NULL
information_schema,INNODB_INDEXES,def,TYPE,NULL,NULL
information_schema,INNODB_INDEXES,def,N_FIELDS,NULL,NULL
information_schema,INNODB_INDEXES,def,PAGE_NO,NULL,NULL
information_schema,INNODB_INDEXES,def,SPACE,NULL,NULL
information_schema,INNODB_INDEXES,def,MERGE_THRESHOLD,NULL,NULL
information_schema,INNODB_METRICS,def,NAME,NULL,NULL
information_schema,INNODB_METRICS,def,SUBSYSTEM,NULL,NULL
information_schema,INNODB_METRICS,def,COUNT,NULL,NULL
information_schema,INNODB_METRICS,def,MAX_COUNT,NULL,NULL
information_schema,INNODB_METRICS,def,MIN_COUNT,NULL,NULL
information_schema,INNODB_METRICS,def,AVG_COUNT,NULL,NULL
information_schema,INNODB_METRICS,def,COUNT_RESET,NULL,NULL
information_schema,INNODB_METRICS,def,MAX_COUNT_RESET,NULL,NULL
information_schema,INNODB_METRICS,def,MIN_COUNT_RESET,NULL,NULL
information_schema,INNODB_METRICS,def,AVG_COUNT_RESET,NULL,NULL
information_schema,INNODB_METRICS,def,TIME_ENABLED,NULL,NULL
information_schema,INNODB_METRICS,def,TIME_DISABLED,NULL,NULL
information_schema,INNODB_METRICS,def,TIME_ELAPSED,NULL,NULL
information_schema,INNODB_METRICS,def,TIME_RESET,NULL,NULL
information_schema,INNODB_METRICS,def,STATUS,NULL,NULL
information_schema,INNODB_METRICS,def,TYPE,NULL,NULL
information_schema,INNODB_METRICS,def,COMMENT,NULL,NULL
information_schema,INNODB_SESSION_TEMP_TABLESPACES,def,ID,NULL,NULL
information_schema,INNODB_SESSION_TEMP_TABLESPACES,def,SPACE,NULL,NULL
information_schema,INNODB_SESSION_TEMP_TABLESPACES,def,PATH,NULL,NULL
information_schema,INNODB_SESSION_TEMP_TABLESPACES,def,SIZE,NULL,NULL
information_schema,INNODB_SESSION_TEMP_TABLESPACES,def,STATE,NULL,NULL
